Распределение температуры на момент времени t = 10 секунд:
x = 0, T = 100 C
x = 1.57895, T = 61.6553 C
x = 3.15789, T = 34.1329 C
x = 4.73684, T = 19.311 C
x = 6.31579, T = 13.0278 C
x = 7.89474, T = 10.8466 C
x = 9.47368, T = 10.2072 C
x = 11.0526, T = 10.045 C
x = 12.6316, T = 10.0089 C
x = 14.2105, T = 10.0021 C
x = 15.7895, T = 10.0036 C
x = 17.3684, T = 10.0186 C
x = 18.9474, T = 10.0951 C
x = 20.5263, T = 10.4373 C
x = 22.1053, T = 11.7873 C
x = 23.6842, T = 16.392 C
x = 25.2632, T = 29.6565 C
x = 26.8421, T = 60.9473 C
x = 28.4211, T = 119.05 C
x = 30, T = 200 C
